time; nodeID; CC; CC Name; endpoint; property; propertyName; propertyKey; propertyKeyName; value; label; type; readable; writable; default; description; unit; min; max; states; allowManualEntry; ccSpecific; other; propID; affordance; dataType; atType
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;134;Version;0;hardwareVersion;hardwareVersion;;;undefined;Z-Wave chip hardware version;number;true;false;;;;;;;;;;134-hardwareVersion;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;37;Binary Switch;0;currentValue;currentValue;;;true;Current value;boolean;true;false;;;;;;;;;;switch;property;boolean;hiveot:prop:switch
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;37;Binary Switch;0;targetValue;targetValue;;;undefined;Target value;boolean;true;true;;;;;;;;;transitionDuration;switch;action;boolean;hiveot:action:switch
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;currentValue;currentValue;;;0;Current value;number;true;false;;;;0;99;;;;;38-currentValue;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;Up;Up;;;undefined;Perform a level change (Up);boolean;false;true;;;;;;;;{"switchType":2};transitionDuration;38-Up;action;boolean;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;Down;Down;;;undefined;Perform a level change (Down);boolean;false;true;;;;;;;;{"switchType":2};transitionDuration;38-Down;action;boolean;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;targetValue;targetValue;;;undefined;Target value;number;true;true;;;;0;99;;;;transitionDuration;38-targetValue;action;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;duration;duration;;;undefined;Remaining duration;duration;true;false;;;;;;;;;;38-duration;property;duration;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;38;Multilevel Switch;0;restorePrevious;restorePrevious;;;undefined;Restore previous value;boolean;false;true;;;;;;;;;;38-restorePrevious;action;boolean;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;50;Meter;0;value;value;65537;Electric_kWh_Consumed;763.386;Electric Consumption [kWh];number;true;false;;;kWh;;;;;{"meterType":1,"scale":0,"rateType":1};;energy;event;number;hiveot:prop:electric:energy
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;50;Meter;0;value;value;66049;Electric_W_Consumed;157.488;Electric Consumption [W];number;true;false;;;W;;;;;{"meterType":1,"scale":2,"rateType":1};;power;event;number;hiveot:prop:electric:poer
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;50;Meter;0;value;value;66561;Electric_V_Consumed;122.129;Electric Consumption [V];number;true;false;;;V;;;;;{"meterType":1,"scale":4,"rateType":1};;voltage;event;number;hiveot:prop:electric:voltage
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;50;Meter;0;value;value;66817;Electric_A_Consumed;1.452;Electric Consumption [A];number;true;false;;;A;;;;;{"meterType":1,"scale":5,"rateType":1};;current;event;number;hiveot:prop:electric:current
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;50;Meter;0;reset;reset;;;undefined;Reset accumulated values;boolean;false;true;;;;;;;;;;50-reset;action;boolean;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;currentColor;currentColor;2;Red;27;Current value (Red);number;true;false;;The current value of the Red channel.;;0;255;;;;;51-currentColor-2;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;currentColor;currentColor;;;[object Object];Current color;any;true;false;;;;;;;;;;51-currentColor;property;any;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;hexColor;hexColor;;;1b141b;RGB Color;color;true;true;;;;;;;;;transitionDuration;51-hexColor;property;color;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;currentColor;currentColor;3;Green;20;Current value (Green);number;true;false;;The current value of the Green channel.;;0;255;;;;;51-currentColor-3;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;currentColor;currentColor;4;Blue;27;Current value (Blue);number;true;false;;The current value of the Blue channel.;;0;255;;;;;51-currentColor-4;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;targetColor;targetColor;2;Red;undefined;Target value (Red);number;true;true;;The target value of the Red channel.;;0;255;;;;transitionDuration;51-targetColor-2;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;targetColor;targetColor;3;Green;undefined;Target value (Green);number;true;true;;The target value of the Green channel.;;0;255;;;;transitionDuration;51-targetColor-3;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;targetColor;targetColor;4;Blue;undefined;Target value (Blue);number;true;true;;The target value of the Blue channel.;;0;255;;;;transitionDuration;51-targetColor-4;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;targetColor;targetColor;;;undefined;Target color;any;true;true;;;;;;;;;transitionDuration;51-targetColor;property;any;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;51;Color Switch;0;duration;duration;;;undefined;Remaining duration;duration;true;false;;;;;;;;;;51-duration;property;duration;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;3;Current Overload Protection;;;Enable;Current Overload Protection;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-3;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;20;State After Power Failure;;;Always on;State After Power Failure;number;true;true;0;;;0;2;{"0":"Previous state","1":"Always on","2":"Always off"};false;;;112-20;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;80;Send Notifications to Associated Devices (Group 1);;;Basic CC Report;Send Notifications to Associated Devices (Group 1);number;true;true;0;;;0;2;{"0":"Disable","1":"Hail CC","2":"Basic CC Report"};false;;;112-80;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;81;LED Indicator;;;On when load is on;LED Indicator;number;true;true;0;;;0;2;{"0":"On when load is on","1":"Off after 5 seconds","2":"Night light mode"};false;;;112-81;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;83;Night Light: Blue Color;65280;;20;Night Light: Blue Color;number;true;true;221;;;0;255;;true;;;112-83-65280;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;83;Night Light: Green Color;16711680;;27;Night Light: Green Color;number;true;true;160;;;0;255;;true;;;112-83-16711680;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;83;Night Light: Red Color;4278190080;;0;Night Light: Red Color;number;true;true;221;;;0;255;;true;;;112-83-4278190080;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;84;Night Light: Green Brightness;65280;;50;Night Light: Green Brightness;number;true;true;50;;%;0;100;;true;;;112-84-65280;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;84;Night Light: Yellow Brightness;16711680;;50;Night Light: Yellow Brightness;number;true;true;50;;%;0;100;;true;;;112-84-16711680;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;84;Night Light: Red Brightness;4278190080;;0;Night Light: Red Brightness;number;true;true;50;;%;0;100;;true;;;112-84-4278190080;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;90;Send Automatic Reports When Exceeding Thresholds;;;Enable;Send Automatic Reports When Exceeding Thresholds;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-90;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;91;Minimum Power Change to Trigger Event;;;21;Minimum Power Change to Trigger Event;number;true;true;25;;;0;32000;;true;;;112-91;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;92;Minimum Power Percentage Change to Trigger Event;;;20;Minimum Power Percentage Change to Trigger Event;number;true;true;5;;%;0;100;;true;;;112-92;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;101;Automatic Report: Group 1 - Voltage;1;;Enable;Automatic Report: Group 1 - Voltage;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-101-1;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;101;Automatic Report: Group 1 - Current;2;;Enable;Automatic Report: Group 1 - Current;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-101-2;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;101;Automatic Report: Group 1 - Power;4;;Enable;Automatic Report: Group 1 - Power;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-101-4;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;101;Automatic Report: Group 1 - kWh;8;;Enable;Automatic Report: Group 1 - kWh;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-101-8;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;102;Automatic Report: Group 2 - Voltage;1;;Disable;Automatic Report: Group 2 - Voltage;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-102-1;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;102;Automatic Report: Group 2 - Current;2;;Disable;Automatic Report: Group 2 - Current;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-102-2;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;102;Automatic Report: Group 2 - Power;4;;Disable;Automatic Report: Group 2 - Power;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-102-4;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;102;Automatic Report: Group 2 - kWh;8;;Disable;Automatic Report: Group 2 - kWh;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-102-8;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;103;Automatic Report: Group 3 - Voltage;1;;Disable;Automatic Report: Group 3 - Voltage;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-103-1;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;103;Automatic Report: Group 3 - Current;2;;Disable;Automatic Report: Group 3 - Current;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-103-2;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;103;Automatic Report: Group 3 - Power;4;;Disable;Automatic Report: Group 3 - Power;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-103-4;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;103;Automatic Report: Group 3 - kWh;8;;Disable;Automatic Report: Group 3 - kWh;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-103-8;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;111;Automatic Reporting Interval: Group 1;;;600;Automatic Reporting Interval: Group 1;number;true;true;600;;seconds;1;2147483647;;true;;;112-111;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;112;Automatic Reporting Interval: Group 2;;;600;Automatic Reporting Interval: Group 2;number;true;true;600;;seconds;1;2147483647;;true;;;112-112;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;113;Automatic Reporting Interval: Group 3;;;600;Automatic Reporting Interval: Group 3;number;true;true;600;;seconds;1;2147483647;;true;;;112-113;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;200;Partner ID;;;Aeotec;Partner ID;number;true;true;0;;;0;1;{"0":"Aeotec","1":"Other"};false;;;112-200;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;252;Lock Configuration;;;Disable;Lock Configuration;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-252;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;254;Device Tag;;;0;Device Tag;number;true;true;0;;;0;65535;;true;;;112-254;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;112;Configuration;0;255;Reset to Factory Default Setting;;;undefined;Reset to Factory Default Setting;number;false;true;0;;;0;1431655765;{"0":"Normal Operation","1":"Resets all configuration parameters to default setting","1431655765":"Reset the product to factory default setting and exclude from Z-Wave network"};false;;;112-255;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;114;Manufacturer Specific;0;manufacturerId;manufacturerId;;;134;Manufacturer ID;number;true;false;;;;0;65535;;;;;114-manufacturerId;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;114;Manufacturer Specific;0;productType;productType;;;259;Product type;number;true;false;;;;0;65535;;;;;114-productType;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;114;Manufacturer Specific;0;productId;productId;;;96;Product ID;number;true;false;;;;0;65535;;;;;114-productId;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;134;Version;0;libraryType;libraryType;;;Enhanced Slave;Library type;number;true;false;;;;;;{"0":"Unknown","1":"Static Controller","2":"Controller","3":"Enhanced Slave","4":"Slave","5":"Installer","6":"Routing Slave","7":"Bridge Controller","8":"Device under Test","9":"N/A","10":"AV Remote","11":"AV Device"};;;;134-libraryType;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;134;Version;0;protocolVersion;protocolVersion;;;4.5;Z-Wave protocol version;string;true;false;;;;;;;;;;134-protocolVersion;property;string;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;134;Version;0;firmwareVersions;firmwareVersions;;;1.3;Z-Wave chip firmware versions;string[];true;false;;;;;;;;;;134-firmwareVersions;property;string[];
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);5;134;Version;0;hardwareVersion;hardwareVersion;;;96;Z-Wave chip hardware version;number;true;false;;;;;;;;;;134-hardwareVersion;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;48;Binary Sensor;0;Any;Any;;;false;Sensor state (Any);boolean;true;false;;;;;;;;{"sensorType":255};;48-Any;event;boolean;hiveot:prop:alarm:status
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;49;Multilevel Sensor;0;Air temperature;Air temperature;;;9;Air temperature;number;true;false;;;°C;;;;;{"sensorType":1,"scale":0};;49-Air_temperature;event;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;49;Multilevel Sensor;0;Illuminance;Illuminance;;;310;Illuminance;number;true;false;;;Lux;;;;;{"sensorType":3,"scale":1};;49-Illuminance;event;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;49;Multilevel Sensor;0;Humidity;Humidity;;;52;Humidity;number;true;false;;;%;;;;;{"sensorType":5,"scale":0};;49-Humidity;event;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;49;Multilevel Sensor;0;Ultraviolet;Ultraviolet;;;0;Ultraviolet;number;true;false;;;;;;;;{"sensorType":27,"scale":0};;49-Ultraviolet;event;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;3;PIR Sensor Timeout;;;240;PIR Sensor Timeout;number;true;true;240;;;10;3600;;true;;;112-3;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;4;PIR Sensitivity;;;5;PIR Sensitivity;number;true;true;5;;;0;5;;true;;;112-4;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;5;Motion Sensor Report Type to Send;;;Basic CC Report;Motion Sensor Report Type to Send;number;true;true;1;;;1;2;{"1":"Basic CC Report","2":"Binary Sensor CC Report"};false;;;112-5;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;8;Wake Up Timeout;;;15;Wake Up Timeout;number;true;true;15;;seconds;8;127;;true;;;112-8;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;9;Current Power Mode;65280;;USB Power;Current Power Mode;number;true;false;0;;;0;1;{"0":"USB Power","1":"Battery"};false;;;112-9-65280;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;9;Sleep State;255;;Always awake on USB power;Sleep State;number;true;false;0;;;0;2;{"0":"Asleep","1":"Awake","2":"Always awake on USB power"};false;;;112-9-255;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;39;Low Battery Threshold;;;20;Low Battery Threshold;number;true;true;20;;%;10;50;;true;;;112-39;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;40;Selective Reporting;;;Disable;Selective Reporting;number;true;true;0;Report only when the defined threshold is exceeded; description: Report only when the defined threshold is exceeded;;0;1;{"0":"Disable","1":"Enable"};false;;;112-40;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;41;Temperature Threshold Unit;3840;;Celsius;Temperature Threshold Unit;number;true;true;1;;;1;2;{"1":"Celsius","2":"Fahrenheit"};false;;;112-41-3840;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;41;Temperature Change Threshold;4294901760;;10;Temperature Change Threshold;number;true;true;20;;0.1 °C/°F;10;2120;;true;;;112-41-4294901760;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;42;Humidity Change Threshold;;;12;Humidity Change Threshold;number;true;true;10;;%;1;100;;true;;;112-42;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;43;Luminance Change Threshold;;;100;Luminance Change Threshold;number;true;true;100;;lux;1;1000;;true;;;112-43;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;44;Battery Level Threshold;;;10;Battery Level Threshold;number;true;true;10;;%;1;100;;true;;;112-44;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;45;Ultraviolet Change Threshold;;;2;Ultraviolet Change Threshold;number;true;true;2;;;1;11;;true;;;112-45;property;number;
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;46;Low Temperature Alarm (-15 °C);;;Disable;Low Temperature Alarm (-15 °C);number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-46;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;48;Report Below Temperature Threshold;1;;Disable;Report Below Temperature Threshold;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-48-1;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;48;Report Below Humidity Threshold;2;;Disable;Report Below Humidity Threshold;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-48-2;property;number (UnsignedInteger);
Sat Mar 22 2025 13:51:10 GMT-0700 (Pacific Daylight Time);11;112;Configuration;0;48;Report Below Luminance Threshold;4;;Disable;Report Below Luminance Threshold;number;true;true;0;;;0;1;{"0":"Disable","1":"Enable"};false;;;112-48-4;property;number (UnsignedInteger);
